Pays,Population totale,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité intérieure,Importations - Quantité,Exportations - Quantité,Nourriture,Production,Pertes,Traitement,Ratio importations / (importations + production - pertes - exportations),Importations - (exportations - production),Ratio pertes / production
Afghanistan,36296113,5.0,0.54,0.33,1.53,57.0,29.0,0.0,55.0,28.0,2.0,0.0,0.5272727272727272,57.0,0.07142857142857142
Afrique du Sud,57009756,143.0,14.11,9.25,35.69,2118.0,514.0,63.0,2035.0,1667.0,83.0,0.0,0.2525798525798526,2118.0,0.04979004199160168
Albanie,2884169,85.0,6.26,6.45,16.36,47.0,38.0,0.0,47.0,13.0,0.0,0.0,0.7450980392156863,51.0,0.0
Algérie,41389189,22.0,1.97,1.5,6.38,277.0,2.0,0.0,264.0,275.0,13.0,0.0,0.007575757575757576,277.0,0.04727272727272727
Allemagne,82658409,71.0,7.96,4.16,19.47,1739.0,842.0,646.0,1609.0,1514.0,0.0,167.0,0.49239766081871345,1710.0,0.0
Angola,29816766,35.0,3.6,2.22,10.56,319.0,277.0,0.0,315.0,42.0,2.0,2.0,0.8738170347003155,319.0,0.047619047619047616
Antigua-et-Barbuda,95426,233.0,17.77,17.55,54.1,7.0,7.0,0.0,5.0,0.0,0.0,0.0,1.0,7.0,0.0
Arabie saoudite,33101178,151.0,15.57,9.38,43.36,1435.0,722.0,10.0,1435.0,616.0,0.0,0.0,0.5436746987951807,1328.0,0.0
Argentine,43937140,182.0,13.53,13.84,42.24,1962.0,8.0,207.0,1856.0,2161.0,106.0,0.0,0.004310344827586207,1962.0,0.04905136510874595
Arménie,2944791,54.0,5.44,3.39,16.06,47.0,35.0,0.0,47.0,11.0,0.0,0.0,0.7608695652173914,46.0,0.0
Australie,24584620,192.0,16.6,13.45,47.65,1171.0,16.0,42.0,1171.0,1269.0,0.0,0.0,0.012872083668543845,1243.0,0.0
Autriche,8819901,65.0,7.49,3.66,18.2,173.0,110.0,78.0,160.0,148.0,0.0,12.0,0.6111111111111112,180.0,0.0
Azerbaïdjan,9845320,44.0,4.45,2.77,13.11,129.0,27.0,0.0,129.0,104.0,0.0,0.0,0.20610687022900764,131.0,0.0
Bahamas,381755,182.0,14.61,13.33,43.17,26.0,24.0,0.0,16.0,6.0,0.0,0.0,0.8,30.0,0.0
Bangladesh,159685424,7.0,0.47,0.51,1.5,250.0,0.0,0.0,240.0,249.0,10.0,0.0,0.0,249.0,0.040160642570281124
Barbade,286232,199.0,15.33,14.85,46.78,17.0,2.0,0.0,13.0,15.0,0.0,0.0,0.11764705882352941,17.0,0.0
Bélarus,9450231,95.0,9.41,6.06,27.98,265.0,21.0,152.0,264.0,463.0,0.0,1.0,0.06325301204819277,332.0,0.0
Belgique,11419748,44.0,4.57,2.71,12.65,152.0,338.0,656.0,144.0,463.0,0.0,33.0,2.331034482758621,145.0,0.0
Belize,375769,110.0,8.26,8.37,25.69,19.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,20.0,0.0
Bénin,11175198,37.0,4.98,1.71,14.4,161.0,123.0,0.0,161.0,18.0,0.0,0.0,0.8723404255319149,141.0,0.0
Bolivie (État plurinational de),11192855,155.0,11.43,11.91,36.0,429.0,1.0,1.0,403.0,533.0,27.0,0.0,0.001976284584980237,533.0,0.05065666041275797
Bosnie-Herzégovine,3351525,56.0,5.66,3.51,16.7,55.0,10.0,8.0,56.0,61.0,0.0,0.0,0.15873015873015872,63.0,0.0
Botswana,2205080,12.0,1.19,0.71,3.39,7.0,3.0,0.0,7.0,5.0,0.0,0.0,0.375,8.0,0.0
Brésil,207833823,204.0,15.68,15.34,48.03,9982.0,3.0,4223.0,9982.0,14201.0,0.0,0.0,0.00030057108506161706,9981.0,0.0
Bulgarie,7102444,81.0,8.74,4.9,22.06,157.0,108.0,45.0,157.0,107.0,0.0,1.0,0.6352941176470588,170.0,0.0
Burkina Faso,19193234,8.0,0.77,0.48,2.27,46.0,0.0,0.0,44.0,46.0,2.0,0.0,0.0,46.0,0.043478260869565216
Cabo Verde,537498,62.0,6.52,3.75,17.62,10.0,12.0,0.0,9.0,1.0,0.0,0.0,0.9230769230769231,13.0,0.0
Cambodge,16009409,11.0,0.74,0.85,2.34,38.0,10.0,0.0,37.0,28.0,1.0,0.0,0.2702702702702703,38.0,0.03571428571428571
Cameroun,24566073,11.0,1.07,0.67,3.16,82.0,0.0,0.0,78.0,81.0,4.0,0.0,0.0,81.0,0.04938271604938271
Canada,36732095,154.0,13.86,10.54,39.02,1433.0,182.0,163.0,1433.0,1417.0,0.0,0.0,0.12674094707520892,1436.0,0.0
Chili,18470439,153.0,12.21,11.22,36.36,672.0,155.0,115.0,672.0,712.0,0.0,0.0,0.20611702127659576,752.0,0.0
Chine - RAS de Hong-Kong,7306322,210.0,22.26,12.7,53.51,280.0,907.0,663.0,391.0,24.0,0.0,0.0,3.3843283582089554,268.0,0.0
Chine - RAS de Macao,622585,142.0,11.9,10.08,34.47,19.0,23.0,0.0,21.0,3.0,0.0,0.0,0.8846153846153846,26.0,0.0
"Chine, continentale",1421021791,59.0,3.96,4.67,12.33,18161.0,452.0,576.0,17518.0,18236.0,643.0,1.0,0.0258744060907894,18112.0,0.03525992542224172
"Chine, Taiwan Province de",23674546,126.0,11.01,8.7,33.17,785.0,161.0,8.0,785.0,652.0,0.0,0.0,0.2,805.0,0.0
Chypre,1179678,91.0,9.58,5.54,25.08,38.0,14.0,1.0,30.0,25.0,1.0,0.0,0.3783783783783784,38.0,0.04
Colombie,48909839,111.0,9.57,7.69,31.99,1643.0,78.0,2.0,1565.0,1564.0,78.0,0.0,0.0499359795134443,1640.0,0.049872122762148335
Congo,5110695,72.0,7.45,4.47,21.53,110.0,104.0,0.0,110.0,7.0,0.0,0.0,0.9369369369369369,111.0,0.0
Costa Rica,4949954,92.0,7.93,6.36,26.52,134.0,17.0,3.0,131.0,133.0,0.0,0.0,0.11564625850340136,147.0,0.0
Côte d'Ivoire,24437470,8.0,0.86,0.53,2.53,65.0,7.0,0.0,62.0,58.0,3.0,0.0,0.11290322580645161,65.0,0.05172413793103448
Croatie,4182857,37.0,4.06,2.2,10.77,45.0,24.0,17.0,45.0,61.0,0.0,0.0,0.35294117647058826,68.0,0.0
Cuba,11339254,82.0,7.12,5.7,23.72,342.0,312.0,0.0,269.0,29.0,0.0,0.0,0.9149560117302052,341.0,0.0
Danemark,5732274,112.0,12.97,6.34,28.98,167.0,133.0,139.0,166.0,173.0,0.0,1.0,0.7964071856287425,167.0,0.0
Djibouti,944099,9.0,0.92,0.59,2.68,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0
Dominique,71458,150.0,11.52,11.26,35.19,4.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0
Égypte,96442591,50.0,4.51,3.42,12.96,1250.0,110.0,1.0,1250.0,1118.0,0.0,0.0,0.08964955175224124,1227.0,0.0
El Salvador,6388126,71.0,6.25,4.9,20.43,131.0,16.0,2.0,131.0,136.0,0.0,0.0,0.10666666666666667,150.0,0.0
Émirats arabes unis,9487203,147.0,14.8,9.25,43.47,412.0,433.0,94.0,412.0,48.0,0.0,0.0,1.1188630490956073,387.0,0.0
Équateur,16785361,83.0,6.15,6.35,19.31,341.0,0.0,0.0,324.0,340.0,17.0,0.0,0.0,340.0,0.05
Espagne,46647428,105.0,12.47,5.72,30.39,1497.0,205.0,212.0,1418.0,1515.0,66.0,13.0,0.1421636615811373,1508.0,0.04356435643564356
Estonie,1319390,86.0,7.27,6.03,21.26,29.0,21.0,11.0,28.0,20.0,1.0,0.0,0.7241379310344828,30.0,0.05
Eswatini,1124805,22.0,2.23,1.37,6.46,7.0,2.0,0.0,7.0,6.0,0.0,0.0,0.25,8.0,0.0
États-Unis d'Amérique,325084756,219.0,19.93,14.83,55.68,18266.0,123.0,3692.0,18100.0,21914.0,0.0,77.0,0.006704824202780049,18345.0,0.0
Éthiopie,106399924,0.0,0.04,0.03,0.13,14.0,1.0,0.0,14.0,14.0,1.0,0.0,0.07142857142857142,15.0,0.07142857142857142
